model_size,checkpoint_step,n_words_correlated,layer_num,method,id
160m,0,1,0,mle,19.28260283180222
160m,0,1,0,pca,37.0
160m,0,1,0,pr,42.518297442105634
160m,0,1,0,2nn,33.60725949034411
160m,0,1,1,mle,20.22473253328668
160m,0,1,1,pca,40.0
160m,0,1,1,pr,43.86931069853861
160m,0,1,1,2nn,35.07801425019923
160m,0,1,2,mle,19.30176715864148
160m,0,1,2,pca,37.0
160m,0,1,2,pr,42.4670581251461
160m,0,1,2,2nn,31.112922014976995
160m,0,1,3,mle,18.35389167781339
160m,0,1,3,pca,41.0
160m,0,1,3,pr,44.77483773783925
160m,0,1,3,2nn,27.71682249919904
160m,0,1,4,mle,17.61548434487782
160m,0,1,4,pca,40.0
160m,0,1,4,pr,44.61528607314054
160m,0,1,4,2nn,25.501227957752675
160m,0,1,5,mle,17.003319211309353
160m,0,1,5,pca,41.0
160m,0,1,5,pr,46.12392882943362
160m,0,1,5,2nn,23.86479457013145
160m,0,1,6,mle,16.575967437579276
160m,0,1,6,pca,43.0
160m,0,1,6,pr,47.62291656926901
160m,0,1,6,2nn,22.66765630542264
160m,0,1,7,mle,16.22528774773512
160m,0,1,7,pca,46.0
160m,0,1,7,pr,49.59265793693044
160m,0,1,7,2nn,21.70770314845978
160m,0,1,8,mle,15.958420197337158
160m,0,1,8,pca,49.0
160m,0,1,8,pr,51.55969617999564
160m,0,1,8,2nn,20.979402828817417
160m,0,1,9,mle,15.70781613552144
160m,0,1,9,pca,50.0
160m,0,1,9,pr,53.44115618065105
160m,0,1,9,2nn,20.303895113693365
160m,0,1,10,mle,15.4767507351559
160m,0,1,10,pca,49.0
160m,0,1,10,pr,54.08191987800115
160m,0,1,10,2nn,19.73682294807698
160m,0,1,11,mle,15.388485828947308
160m,0,1,11,pca,53.0
160m,0,1,11,pr,56.18654557031911
160m,0,1,11,2nn,19.19378997375432
160m,0,2,0,mle,15.668126103841256
160m,0,2,0,pca,30.0
160m,0,2,0,pr,40.70261409878744
160m,0,2,0,2nn,25.306873225097767
160m,0,2,1,mle,17.246932628936122
160m,0,2,1,pca,35.0
160m,0,2,1,pr,41.85397810568453
160m,0,2,1,2nn,28.52229580867272
160m,0,2,2,mle,16.986841396781927
160m,0,2,2,pca,31.0
160m,0,2,2,pr,40.48344088270331
160m,0,2,2,2nn,26.77908793060825
160m,0,2,3,mle,16.49916314996801
160m,0,2,3,pca,36.0
