model_size,checkpoint_step,n_words_correlated,layer_num,method,id
1b,0,1,0,mle,43.04693484632168
1b,0,1,0,pca,207.0
1b,0,1,0,pr,175.41181283643957
1b,0,1,0,2nn,42.090161132142
1b,0,1,1,mle,45.92761928831784
1b,0,1,1,pca,228.0
1b,0,1,1,pr,199.21830862153115
1b,0,1,1,2nn,45.19468243046485
1b,0,1,2,mle,43.58173272996351
1b,0,1,2,pca,223.0
1b,0,1,2,pr,199.76143159897623
1b,0,1,2,2nn,42.97524712290326
1b,0,1,3,mle,41.36865156652723
1b,0,1,3,pca,224.0
1b,0,1,3,pr,196.9011137115621
1b,0,1,3,2nn,40.1982657481016
1b,0,1,4,mle,39.61946640916988
1b,0,1,4,pca,229.0
1b,0,1,4,pr,193.98625817842063
1b,0,1,4,2nn,38.72460900819976
1b,0,1,5,mle,37.82245793765659
1b,0,1,5,pca,233.0
1b,0,1,5,pr,191.04114036217
1b,0,1,5,2nn,37.23029607546871
1b,0,1,6,mle,36.64352495590416
1b,0,1,6,pca,233.0
1b,0,1,6,pr,187.98624582448744
1b,0,1,6,2nn,36.29132824479953
1b,0,1,7,mle,35.671567031944655
1b,0,1,7,pca,231.0
1b,0,1,7,pr,184.5781119794156
1b,0,1,7,2nn,35.23767188901563
1b,0,1,8,mle,34.8524347184428
1b,0,1,8,pca,232.0
1b,0,1,8,pr,182.11586390830024
1b,0,1,8,2nn,34.70874575256274
1b,0,1,9,mle,34.254606390256924
1b,0,1,9,pca,227.0
1b,0,1,9,pr,179.40418340262747
1b,0,1,9,2nn,34.45169149834204
1b,0,1,10,mle,33.60545595870528
1b,0,1,10,pca,226.0
1b,0,1,10,pr,177.4365796561378
1b,0,1,10,2nn,34.089460138061845
1b,0,1,11,mle,33.0649520817019
1b,0,1,11,pca,227.0
1b,0,1,11,pr,175.2187364901159
1b,0,1,11,2nn,33.367088317680576
1b,0,1,12,mle,32.69086695212686
1b,0,1,12,pca,225.0
1b,0,1,12,pr,173.1961625862566
1b,0,1,12,2nn,32.83394899518569
1b,0,1,13,mle,32.242441006092044
1b,0,1,13,pca,222.0
1b,0,1,13,pr,171.2085864718125
1b,0,1,13,2nn,32.36352635674623
1b,0,1,14,mle,31.849040274577337
1b,0,1,14,pca,219.0
1b,0,1,14,pr,169.15217033954715
1b,0,1,14,2nn,31.997884753428
1b,0,1,15,mle,31.524844811268483
1b,0,1,15,pca,220.0
1b,0,1,15,pr,167.5192382371562
1b,0,1,15,2nn,31.87407222535176
1b,0,2,0,mle,28.1799644505676
1b,0,2,0,pca,180.0
1b,0,2,0,pr,135.8165792382643
1b,0,2,0,2nn,24.905877367992304
1b,0,2,1,mle,27.54383467758482
1b,0,2,1,pca,189.0
1b,0,2,1,pr,148.4797322728867
1b,0,2,1,2nn,24.69331453565385
1b,0,2,2,mle,24.225660509484783
1b,0,2,2,pca,188.0
1b,0,2,2,pr,147.93153672273968
1b,0,2,2,2nn,23.318473744647584
1b,0,2,3,mle,22.28714254782731
1b,0,2,3,pca,189.0
1b,0,2,3,pr,145.09697965519308
1b,0,2,3,2nn,22.744514847330887
1b,0,2,4,mle,21.128840697136027
1b,0,2,4,pca,193.0
1b,0,2,4,pr,141.9127521817607
1b,0,2,4,2nn,22.259669326863
1b,0,2,5,mle,20.375029928342304
1b,0,2,5,pca,192.0
1b,0,2,5,pr,139.09652933766816
1b,0,2,5,2nn,21.884611706150167
