model_size,checkpoint_step,n_words_correlated,layer_num,method,id
2.8b,0,1,0,mle,44.81251791425096
2.8b,0,1,0,pca,218.0
2.8b,0,1,0,pr,192.9113461132776
2.8b,0,1,0,2nn,44.427959581245595
2.8b,0,1,1,mle,46.88082900968232
2.8b,0,1,1,pca,238.0
2.8b,0,1,1,pr,218.41073911578135
2.8b,0,1,1,2nn,45.561304818673335
2.8b,0,1,2,mle,44.69623647648198
2.8b,0,1,2,pca,244.0
2.8b,0,1,2,pr,221.36148634783
2.8b,0,1,2,2nn,43.268137472701234
2.8b,0,1,3,mle,42.15276656975584
2.8b,0,1,3,pca,242.0
2.8b,0,1,3,pr,218.24175367740813
2.8b,0,1,3,2nn,40.838673762439186
2.8b,0,1,4,mle,40.01697905993259
2.8b,0,1,4,pca,241.0
2.8b,0,1,4,pr,214.51171785567735
2.8b,0,1,4,2nn,38.61420628952353
2.8b,0,1,5,mle,38.294971265903044
2.8b,0,1,5,pca,237.0
2.8b,0,1,5,pr,209.590139985285
2.8b,0,1,5,2nn,36.935028812943905
2.8b,0,1,6,mle,36.84722787332513
2.8b,0,1,6,pca,235.0
2.8b,0,1,6,pr,205.29663720252165
2.8b,0,1,6,2nn,35.648635249217186
2.8b,0,1,7,mle,35.84293988147807
2.8b,0,1,7,pca,231.0
2.8b,0,1,7,pr,201.52995954192994
2.8b,0,1,7,2nn,34.828672700401945
2.8b,0,1,8,mle,34.9441898573863
2.8b,0,1,8,pca,228.0
2.8b,0,1,8,pr,197.76242130620983
2.8b,0,1,8,2nn,34.25393496213969
2.8b,0,1,9,mle,34.39695348286219
2.8b,0,1,9,pca,229.0
2.8b,0,1,9,pr,195.3321873249544
2.8b,0,1,9,2nn,34.080983685742744
2.8b,0,1,10,mle,33.70315298683129
2.8b,0,1,10,pca,228.0
2.8b,0,1,10,pr,192.63692184455135
2.8b,0,1,10,2nn,33.755109986047714
2.8b,0,1,11,mle,33.163840683414676
2.8b,0,1,11,pca,229.0
2.8b,0,1,11,pr,190.8373766895278
2.8b,0,1,11,2nn,33.51238276864951
2.8b,0,1,12,mle,32.72766188508521
2.8b,0,1,12,pca,227.0
2.8b,0,1,12,pr,189.3572975312226
2.8b,0,1,12,2nn,33.12945537588033
2.8b,0,1,13,mle,32.21123944638232
2.8b,0,1,13,pca,222.0
2.8b,0,1,13,pr,186.75011582043106
2.8b,0,1,13,2nn,32.580024460931575
2.8b,0,1,14,mle,31.77036172726347
